Run,Scene,Setup,TableSize,Time_Seconds
4,office0,D,16,404.9908
4,office0,D,19,397.4996
4,office1,A,16,377.6478
4,office1,A,19,395.1694
4,office1,B,16,376.2022
4,office1,B,19,383.4469
4,office1,C,16,386.1787
4,office1,C,19,391.3582
4,office1,D,16,392.7934
4,office1,D,19,409.2355
4,office2,A,16,399.3146
4,office2,A,19,425.4671
4,office2,B,16,413.2127
4,office2,B,19,426.2693
4,office2,C,16,423.5178
4,office2,C,19,424.9635
4,office2,D,16,423.5186
4,office2,D,19,431.7105
4,office3,A,16,432.1339
4,office3,A,19,437.6719
4,office3,B,16,435.6587
4,office3,B,19,429.5332
4,office3,C,16,440.4162
4,office3,C,19,438.9124
4,office3,D,16,443.8856
4,office3,D,19,452.7231
4,office4,A,16,400.3861
4,office4,A,19,418.7973
4,office4,B,16,398.2860
4,office4,B,19,414.2720
4,office4,C,16,404.8351
4,office4,C,19,417.1659
4,office4,D,16,411.8582
4,office4,D,19,415.8482
4,room0,A,16,395.9180
4,room0,A,19,406.9392
4,room0,B,16,399.9180
4,room0,B,19,410.1418
4,room0,C,16,400.5920
4,room0,C,19,408.0486
4,room0,D,16,405.2025
4,room0,D,19,411.8991
4,room1,A,16,407.2427
4,room1,A,19,418.5366
4,room1,B,16,408.8274
4,room1,B,19,414.0480
4,room1,C,16,418.0066
4,room1,C,19,420.8494
4,room1,D,16,416.8819
4,room1,D,19,428.2098
4,room2,A,16,401.6116
4,room2,A,19,413.3441
4,room2,B,16,392.0491
4,room2,B,19,404.7756
4,room2,C,16,407.3301
4,room2,C,19,420.4774
4,room2,D,16,406.5594
4,room2,D,19,427.9333
5,office0,A,16,386.7414
5,office0,A,19,402.8604
5,office0,B,16,389.4717
5,office0,B,19,405.7848
5,office0,C,16,405.6057
5,office0,C,19,411.2022
5,office0,D,16,396.6283
5,office0,D,19,399.7922
5,office1,A,16,387.9025
5,office1,A,19,398.2334
5,office1,B,16,372.4099
5,office1,B,19,381.1520
5,office1,C,16,390.5028
5,office1,C,19,401.3116
5,office1,D,16,380.3925
5,office1,D,19,406.2038
5,office2,A,16,407.2043
5,office2,A,19,428.4589
5,office2,B,16,399.2853
5,office2,B,19,421.5969
5,office2,C,16,413.5226
5,office2,C,19,415.7650
5,office2,D,16,410.9006
5,office2,D,19,431.4586
5,office3,A,16,421.7188
5,office3,A,19,436.7142
5,office3,B,16,417.3150
5,office3,B,19,431.9743
5,office3,C,16,424.3174
5,office3,C,19,450.6526
5,office3,D,16,432.9702
5,office3,D,19,436.7733
5,office4,A,16,385.8897
5,office4,A,19,416.2578
5,office4,B,16,391.8131
5,office4,B,19,415.3614
5,office4,C,16,404.7251
5,office4,C,19,425.2255
5,office4,D,16,396.6907
5,office4,D,19,426.2238
5,room0,A,16,390.0807
5,room0,A,19,399.0442
5,room0,B,16,391.1463
5,room0,B,19,399.9255
5,room0,C,16,407.0250
5,room0,C,19,417.5855
5,room0,D,16,410.8621
5,room0,D,19,409.9735
5,room1,A,16,393.1423
5,room1,A,19,412.7413
5,room1,B,16,395.9987
5,room1,B,19,416.9222
5,room1,C,16,407.8093
5,room1,C,19,408.3812
5,room1,D,16,413.5892
5,room1,D,19,418.0349
5,room2,A,16,389.3569
5,room2,A,19,413.6110
5,room2,B,16,383.2295
5,room2,B,19,399.8515
5,room2,C,16,409.8516
5,room2,C,19,406.3126
5,room2,D,16,395.2976
5,room2,D,19,421.0209
6,office0,A,16,391.1256
6,office0,A,19,406.4167
6,office0,B,16,372.3462
6,office0,B,19,400.4171
6,office0,C,16,390.9981
6,office0,C,19,414.1091
6,office0,D,16,396.5768
6,office0,D,19,397.5180
6,office1,A,16,382.9080
6,office1,A,19,400.1524
6,office1,B,16,377.2608
6,office1,B,19,394.0890
6,office1,C,16,393.7816
6,office1,C,19,406.1314
6,office1,D,16,398.2425
6,office1,D,19,398.1181
6,office2,A,16,408.9550
6,office2,A,19,423.6013
6,office2,B,16,409.9309
6,office2,B,19,421.0164
6,office2,C,16,417.0460
6,office2,C,19,432.6368
6,office2,D,16,421.3717
6,office2,D,19,423.1375
6,office3,A,16,414.1760
6,office3,A,19,437.4082
6,office3,B,16,429.9522
6,office3,B,19,447.7148
6,office3,C,16,441.2279
6,office3,C,19,442.2877
6,office3,D,16,439.2211
6,office3,D,19,444.2058
6,office4,A,16,393.5721
6,office4,A,19,409.5629
6,office4,B,16,401.4991
6,office4,B,19,415.6840
6,office4,C,16,402.4180
6,office4,C,19,412.5810
6,office4,D,16,400.6491
6,office4,D,19,406.6741
6,room0,A,16,398.0219
6,room0,A,19,416.0764
6,room0,B,16,397.6418
6,room0,B,19,395.8886
6,room0,C,16,394.3986
6,room0,C,19,422.8825
6,room0,D,16,411.9091
6,room0,D,19,405.0408
6,room1,A,16,403.0182
6,room1,A,19,411.1227
6,room1,B,16,388.1487
6,room1,B,19,404.2309
6,room1,C,16,395.8438
6,room1,C,19,417.3774
6,room1,D,16,411.6159
6,room1,D,19,426.6883
6,room2,A,16,403.0386
6,room2,A,19,411.7513
6,room2,B,16,393.2179
6,room2,B,19,417.6233
6,room2,C,16,410.1243
6,room2,C,19,423.0692
6,room2,D,16,403.8222
6,room2,D,19,403.7157
7,office0,A,16,382.3305
7,office0,A,19,407.9183
7,office0,B,16,381.7936
7,office0,B,19,391.5700
7,office0,C,16,404.9132
7,office0,C,19,408.6219
7,office0,D,16,401.0872
7,office0,D,19,402.7057
7,office1,A,16,379.2914
7,office1,A,19,393.8810
7,office1,B,16,389.1449
7,office1,B,19,398.4794
7,office1,C,16,382.5300
7,office1,C,19,403.1554
7,office1,D,16,399.8472
7,office1,D,19,393.0366
7,office2,A,16,399.3480
7,office2,A,19,416.3177
7,office2,B,16,401.0612
7,office2,B,19,424.6175
7,office2,C,16,406.5407
7,office2,C,19,418.5587
7,office2,D,16,421.4133
7,office2,D,19,419.8407
7,office3,A,16,420.9835
7,office3,A,19,444.9340
7,office3,B,16,428.0905
7,office3,B,19,437.0302
7,office3,C,16,443.9418
7,office3,C,19,443.7944
7,office3,D,16,431.2017
7,office3,D,19,457.4341
7,office4,A,16,389.8632
7,office4,A,19,414.7066
7,office4,B,16,388.1350
7,office4,B,19,415.5359
7,office4,C,16,400.5273
7,office4,C,19,416.5384
7,office4,D,16,399.8489
7,office4,D,19,420.4462
7,room0,A,16,388.7210
7,room0,A,19,406.8258
7,room0,B,16,393.9688
7,room0,B,19,404.7579
7,room0,C,16,399.4248
7,room0,C,19,423.1094
7,room0,D,16,409.9514
7,room0,D,19,412.2619
7,room1,A,16,385.1365
7,room1,A,19,413.0366
7,room1,B,16,395.8554
7,room1,B,19,403.5669
7,room1,C,16,413.3962
7,room1,C,19,426.1524
7,room1,D,16,407.6535
7,room1,D,19,427.4850
7,room2,A,16,384.7166
7,room2,A,19,410.2334
7,room2,B,16,394.9756
7,room2,B,19,415.1749
7,room2,C,16,415.5626
7,room2,C,19,419.6074
7,room2,D,16,394.4029
7,room2,D,19,413.3898
8,office0,A,16,378.4370
8,office0,A,19,402.5804
8,office0,B,16,385.4897
8,office0,B,19,411.6051
8,office0,C,16,385.3092
8,office0,C,19,420.3199
8,office0,D,16,398.9953
8,office0,D,19,405.5950
8,office1,A,16,378.9404
8,office1,A,19,402.6673
8,office1,B,16,388.5636
8,office1,B,19,396.3612
8,office1,C,16,399.1787
8,office1,C,19,398.2840
8,office1,D,16,388.1868
8,office1,D,19,402.2026
8,office2,A,16,393.4809
8,office2,A,19,417.1682
8,office2,B,16,407.2953
8,office2,B,19,426.5549
8,office2,C,16,419.5413
8,office2,C,19,435.5320
8,office2,D,16,407.4572
8,office2,D,19,419.8851
8,office3,A,16,421.8947
8,office3,A,19,437.3295
8,office3,B,16,434.9433
8,office3,B,19,433.6722
8,office3,C,16,439.1275
8,office3,C,19,436.9443
8,office3,D,16,444.9201
8,office3,D,19,453.5557
8,office4,A,16,394.5288
8,office4,A,19,408.0927
8,office4,B,16,393.0961
8,office4,B,19,401.1032
8,office4,C,16,400.1071
8,office4,C,19,417.6025
8,office4,D,16,403.7739
8,office4,D,19,409.2702
8,room0,A,16,401.2180
8,room0,A,19,402.1186
8,room0,B,16,400.8197
8,room0,B,19,409.6350
8,room0,C,16,408.9274
8,room0,C,19,414.6027
8,room0,D,16,408.4213
8,room0,D,19,418.4552
8,room1,A,16,391.2906
8,room1,A,19,420.1551
8,room1,B,16,404.7968
8,room1,B,19,416.9620
8,room1,C,16,397.3750
8,room1,C,19,409.3423
8,room1,D,16,395.3172
8,room1,D,19,411.9024
8,room2,A,16,385.3256
8,room2,A,19,418.7170
8,room2,B,16,390.2267
8,room2,B,19,398.8684
8,room2,C,16,412.1973
8,room2,C,19,418.3834
8,room2,D,16,395.2826
8,room2,D,19,416.7955
9,office0,A,16,375.4296
9,office0,A,19,389.2658
9,office0,B,16,380.2733
9,office0,B,19,403.1920
9,office0,C,16,402.9992
9,office0,C,19,406.4123
9,office0,D,16,396.2194
9,office0,D,19,417.3735
9,office1,A,16,388.9433
9,office1,A,19,406.5481
9,office1,B,16,382.6997
9,office1,B,19,384.5704
9,office1,C,16,397.4490
9,office1,C,19,403.3935
9,office1,D,16,398.9965
9,office1,D,19,394.3232
9,office2,A,16,409.1236
9,office2,A,19,426.6655
9,office2,B,16,404.4517
9,office2,B,19,412.3450
9,office2,C,16,413.4740
9,office2,C,19,436.7169
9,office2,D,16,409.2195
9,office2,D,19,431.0899
9,office3,A,16,432.5184
9,office3,A,19,438.5863
9,office3,B,16,425.2344
9,office3,B,19,437.0951
9,office3,C,16,428.4498
9,office3,C,19,446.9450
9,office3,D,16,446.8619
9,office3,D,19,451.0963
9,office4,A,16,399.0184
9,office4,A,19,419.6568
9,office4,B,16,398.2151
9,office4,B,19,415.5251
9,office4,C,16,414.4691
9,office4,C,19,415.3907
9,office4,D,16,410.7254
9,office4,D,19,415.9131
9,room0,A,16,378.8107
9,room0,A,19,406.5426
9,room0,B,16,396.5522
9,room0,B,19,400.0389
9,room0,C,16,400.9803
9,room0,C,19,409.3227
9,room0,D,16,403.4268
9,room0,D,19,404.8060
9,room1,A,16,393.4196
9,room1,A,19,419.8644
9,room1,B,16,408.2214
9,room1,B,19,410.8393
9,room1,C,16,406.7868
9,room1,C,19,417.3357
9,room1,D,16,413.6773
9,room1,D,19,422.8102
9,room2,A,16,391.3128
9,room2,A,19,408.9655
9,room2,B,16,394.5343
9,room2,B,19,405.4860
9,room2,C,16,403.7930
9,room2,C,19,412.4587
9,room2,D,16,401.9472
9,room2,D,19,414.8977
