0,0.000000,0.000000,0.000000
1,42.013471,42.013471,0.000000
2,34.932992,34.932992,0.000000
3,35.615968,35.615968,0.000000
4,33.563712,33.563712,0.000000
5,116.873217,35.270336,81.602881
6,35.200736,35.200736,0.000000
7,35.274592,35.274592,0.000000
8,35.355392,35.355392,0.000000
9,34.558624,34.558624,0.000000
10,107.214528,36.445952,70.768576
11,35.273984,35.273984,0.000000
12,33.315424,33.315424,0.000000
13,35.434784,35.434784,0.000000
14,36.347296,36.347296,0.000000
15,99.937312,32.989184,66.948128
16,35.827360,35.827360,0.000000
17,35.340672,35.340672,0.000000
18,34.735488,34.735488,0.000000
19,34.103360,34.103360,0.000000
20,98.950593,33.868160,65.082433
21,35.604064,35.604064,0.000000
22,35.682144,35.682144,0.000000
23,34.659552,34.659552,0.000000
24,34.320160,34.320160,0.000000
25,100.117793,34.097024,66.020769
26,33.592640,33.592640,0.000000
27,34.227456,34.227456,0.000000
28,34.486144,34.486144,0.000000
29,35.504896,35.504896,0.000000
30,97.855648,34.642144,63.213504
31,35.150016,35.150016,0.000000
32,34.750912,34.750912,0.000000
33,35.244672,35.244672,0.000000
34,34.495200,34.495200,0.000000
35,96.898112,34.275040,62.623072
36,35.930528,35.930528,0.000000
37,34.321376,34.321376,0.000000
38,33.315008,33.315008,0.000000
39,33.958560,33.958560,0.000000
40,98.658976,36.796480,61.862496
41,34.616128,34.616128,0.000000
42,34.212384,34.212384,0.000000
43,35.601152,35.601152,0.000000
44,34.380160,34.380160,0.000000
45,95.893761,33.291520,62.602241
46,34.675904,34.675904,0.000000
47,35.137216,35.137216,0.000000
48,35.351808,35.351808,0.000000
49,35.549504,35.549504,0.000000
50,97.642465,35.839840,61.802625
51,36.721632,36.721632,0.000000
52,34.444160,34.444160,0.000000
53,35.448192,35.448192,0.000000
54,35.661695,35.661695,0.000000
55,97.989984,33.556832,64.433152
56,33.843776,33.843776,0.000000
57,34.887456,34.887456,0.000000
58,34.923232,34.923232,0.000000
59,35.378432,35.378432,0.000000
60,92.413471,33.297760,59.115712
61,34.307648,34.307648,0.000000
62,34.952800,34.952800,0.000000
63,36.779456,36.779456,0.000000
64,36.169440,36.169440,0.000000
65,97.625055,36.117568,61.507487
66,33.733120,33.733120,0.000000
67,35.298304,35.298304,0.000000
68,32.958784,32.958784,0.000000
69,38.320256,38.320256,0.000000
70,94.871392,33.911168,60.960224
71,34.930304,34.930304,0.000000
72,34.785088,34.785088,0.000000
73,35.178272,35.178272,0.000000
74,33.118400,33.118400,0.000000
75,96.713696,35.207840,61.505856
76,34.994144,34.994144,0.000000
77,33.679456,33.679456,0.000000
78,33.698496,33.698496,0.000000
79,33.709088,33.709088,0.000000
80,94.393440,34.372128,60.021312
81,36.502784,36.502784,0.000000
82,32.403168,32.403168,0.000000
83,34.615072,34.615072,0.000000
84,32.820800,32.820800,0.000000
85,95.155456,32.546144,62.609312
86,35.680064,35.680064,0.000000
87,33.179520,33.179520,0.000000
88,35.566464,35.566464,0.000000
89,36.867744,36.867744,0.000000
90,94.868096,34.732448,60.135648
91,33.360544,33.360544,0.000000
92,34.181408,34.181408,0.000000
93,33.427104,33.427104,0.000000
94,34.011456,34.011456,0.000000
95,95.433248,34.687968,60.745280
96,34.494560,34.494560,0.000000
97,34.480704,34.480704,0.000000
98,33.017696,33.017696,0.000000
99,35.827296,35.827296,0.000000
100,96.422049,35.991008,60.431040
101,34.033024,34.033024,0.000000
102,33.022144,33.022144,0.000000
103,36.256608,36.256608,0.000000
104,33.798688,33.798688,0.000000
105,94.692991,34.116735,60.576256
106,33.754464,33.754464,0.000000
107,34.238912,34.238912,0.000000
108,34.771584,34.771584,0.000000
109,34.139136,34.139136,0.000000
110,92.718144,34.479840,58.238304
111,36.030816,36.030816,0.000000
112,35.071328,35.071328,0.000000
113,34.234592,34.234592,0.000000
114,33.902176,33.902176,0.000000
115,94.802400,34.174976,60.627424
116,33.818880,33.818880,0.000000
117,32.620000,32.620000,0.000000
118,32.662528,32.662528,0.000000
119,33.139680,33.139680,0.000000
120,94.667008,34.379904,60.287104
121,33.562016,33.562016,0.000000
122,33.044000,33.044000,0.000000
123,34.752256,34.752256,0.000000
124,33.285920,33.285920,0.000000
125,91.011295,32.729408,58.281888
126,34.423808,34.423808,0.000000
127,34.988544,34.988544,0.000000
128,35.089248,35.089248,0.000000
129,33.665952,33.665952,0.000000
130,95.705120,34.362528,61.342592
131,36.925600,36.925600,0.000000
132,34.531104,34.531104,0.000000
133,32.922944,32.922944,0.000000
134,34.314496,34.314496,0.000000
135,93.089024,34.312576,58.776448
136,33.917217,33.917217,0.000000
137,34.364096,34.364096,0.000000
138,34.252992,34.252992,0.000000
139,34.139104,34.139104,0.000000
140,94.895902,35.041632,59.854270
141,33.237024,33.237024,0.000000
142,33.163424,33.163424,0.000000
