Run,Scene,Config,HashSize,ATE_RMSE
3,room0,D,19,0.006440736128042192
3,room1,A,19,0.008397139550637889
3,room1,B,19,0.007361787963532151
3,room1,C,19,0.01409846198075374
3,room1,D,19,0.008542612558947641
3,room2,A,19,0.01086360641186554
3,room2,B,19,0.0094459319457121
3,room2,C,19,0.010465586035610975
3,room2,D,19,0.011176916667174665
4,office0,A,19,0.0054676804940835605
4,office0,B,19,0.00584143283128565
4,office0,C,19,0.007130291712893393
4,office0,D,19,0.007260026227078953
4,office1,A,19,0.005180168981283372
4,office1,B,19,0.005042869480072179
4,office1,C,19,0.0068992537809558505
4,office1,D,19,0.006460669692476036
4,office2,A,19,0.019401438818597024
4,office2,B,19,0.020090942463219515
4,office2,C,19,0.0201890239143143
4,office2,D,19,0.021266133468978154
4,office3,A,19,0.01290419824575456
4,office3,B,19,0.013547005058697636
4,office3,C,19,0.013472083395554665
4,office3,D,19,0.013530647195060924
4,office4,A,19,0.007499269576835625
4,office4,B,19,0.008065967284051102
4,office4,C,19,0.008135373605020448
4,office4,D,19,0.008292140227474548
4,room0,A,19,0.005792436645848787
4,room0,B,19,0.005903863675837557
4,room0,C,19,0.0069882020965088875
4,room0,D,19,0.007184103274560772
4,room1,A,19,0.008562473363487514
4,room1,B,19,0.008232797180022693
4,room1,C,19,0.010676904235640806
4,room1,D,19,0.012211126353704924
4,room2,A,19,0.009864327388643476
4,room2,B,19,0.010120433260856952
4,room2,C,19,0.0116673934277086
4,room2,D,19,0.010483883965738287
5,office0,A,19,0.0055188897326297875
5,office0,B,19,0.005320100755777706
5,office0,C,19,0.006800364474713715
5,office0,D,19,0.007472813821245103
5,office1,A,19,0.005273357200454616
5,office1,B,19,0.00616967473339194
5,office1,C,19,0.0071499009870294224
5,office1,D,19,0.006869037251751876
5,office2,A,19,0.018440192952662013
5,office2,B,19,0.018309366323425173
5,office2,C,19,0.020713741242349336
5,office2,D,19,0.02038890446930411
5,office3,A,19,0.013609108952727478
5,office3,B,19,0.012609196508567478
5,office3,C,19,0.013037418229359431
5,office3,D,19,0.013275249650461571
5,office4,A,19,0.007408911384017275
5,office4,B,19,0.008023112784930767
5,office4,C,19,0.00801759619571915
5,office4,D,19,0.008714558293755377
5,room0,A,19,0.007192037472160141
5,room0,B,19,0.005965188763361483
5,room0,C,19,0.008129267009271142
5,room0,D,19,0.006733405959714119
5,room1,A,19,0.008254243496051623
5,room1,B,19,0.006663687348920412
5,room1,C,19,0.014202269364974629
5,room1,D,19,0.01104290867807691
5,room2,A,19,0.010633441011250624
5,room2,B,19,0.009779184295288932
5,room2,C,19,0.011755062862667538
5,room2,D,19,0.009948777542099873
6,office0,A,19,0.005466823824750905
6,office0,B,19,0.005418840549203302
6,office0,C,19,0.006797479060125211
6,office0,D,19,0.006928913566108069
6,office1,A,19,0.004882420890844521
6,office1,B,19,0.004759777729859791
6,office1,C,19,0.006775518983421045
6,office1,D,19,0.008838282527852055
6,office2,A,19,0.01927142206460547
6,office2,B,19,0.01829224261628756
6,office2,C,19,0.020158759808941353
6,office2,D,19,0.01922278922951333
6,office3,A,19,0.012725752510108535
6,office3,B,19,0.01318163146014796
6,office3,C,19,0.013780426506994702
6,office3,D,19,0.013334733749784788
6,office4,A,19,0.006985560581747977
6,office4,B,19,0.00756208219529085
6,office4,C,19,0.008067395122881462
6,office4,D,19,0.00839948956002114
6,room0,A,19,0.00580715397339393
6,room0,B,19,0.006548254187437735
6,room0,C,19,0.006957024103990399
6,room0,D,19,0.007018313025338312
6,room1,A,19,0.008276740952014148
6,room1,B,19,0.007002376044136761
6,room1,C,19,0.013039325675054078
6,room1,D,19,0.008625751822240157
6,room2,A,19,0.010928102966115343
6,room2,B,19,0.01014592969896465
6,room2,C,19,0.013153301114462274
6,room2,D,19,0.011227954457415323
7,office0,A,19,0.0053239697714999226
7,office0,B,19,0.00515720414539787
