frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,2.053216,1.963840,7.263232
1,tracking,1,1.499520,1.693984,4.011584
1,tracking,2,1.288800,1.677952,3.539968
1,tracking,3,1.281696,1.687520,3.543040
1,tracking,4,1.288192,1.683680,3.540992
1,tracking,5,1.262592,1.686080,3.522560
1,tracking,6,1.287424,1.692640,3.558400
1,tracking,7,1.290336,1.737472,3.608768
1,tracking,8,1.292736,1.737312,3.612672
1,tracking,9,1.298528,1.793408,3.684352
2,tracking,0,1.370336,1.816640,4.564928
2,tracking,1,1.309696,1.767072,3.643392
2,tracking,2,1.637824,1.878400,4.212736
2,tracking,3,1.386560,1.811584,3.809280
2,tracking,4,1.319904,1.774720,3.675552
2,tracking,5,1.281024,1.771840,3.622912
2,tracking,6,1.302528,1.765216,3.618816
2,tracking,7,1.288512,1.766816,3.608576
2,tracking,8,1.290464,1.766432,3.614976
2,tracking,9,1.294336,1.768384,3.627008
3,tracking,0,1.289216,1.767904,4.338656
3,tracking,1,1.275104,1.774016,3.609632
3,tracking,2,1.356704,1.790112,3.726336
3,tracking,3,1.691200,1.863104,4.297728
3,tracking,4,1.455104,1.832672,3.891200
3,tracking,5,1.318176,1.771456,3.659776
3,tracking,6,1.337984,1.769024,3.686400
3,tracking,7,1.292288,1.777472,3.629504
3,tracking,8,1.301504,1.765664,3.627008
3,tracking,9,1.286144,1.764352,3.627008
4,tracking,0,1.282272,1.769856,4.342048
4,tracking,1,1.292736,1.771360,3.650848
4,tracking,2,1.782784,1.990688,4.448256
4,tracking,3,1.452992,1.827072,3.895296
4,tracking,4,1.327200,1.788672,3.701952
4,tracking,5,1.300480,1.764032,3.623936
4,tracking,6,1.275904,1.774112,3.612672
4,tracking,7,1.300192,1.768192,3.638272
4,tracking,8,1.291840,1.763328,3.631104
4,tracking,9,1.283040,1.768256,3.612672
5,tracking,0,1.282048,1.773056,4.332544
5,tracking,1,1.301632,1.760416,3.630080
5,tracking,2,1.288960,1.801056,3.678208
5,tracking,3,1.656832,1.843648,4.251776
5,tracking,4,1.369184,1.778240,3.752960
5,tracking,5,1.280224,1.768128,3.622112
5,tracking,6,1.300608,1.762592,3.628032
5,tracking,7,1.281184,1.767744,3.601696
5,tracking,8,1.288064,1.764320,3.609600
5,tracking,9,1.285056,1.767296,3.614720
5,bundle_adjustment,0,3.409280,6.167552,13.024288
5,bundle_adjustment,1,3.259392,5.876544,11.370496
5,bundle_adjustment,2,3.014592,5.812224,11.001856
5,bundle_adjustment,3,3.044160,5.836800,11.077632
5,bundle_adjustment,4,3.003392,5.830784,11.003008
5,bundle_adjustment,5,3.019776,5.809152,11.005952
5,bundle_adjustment,6,3.013632,5.858624,11.045888
5,bundle_adjustment,7,3.001376,5.815296,11.075584
5,bundle_adjustment,8,3.010720,5.816352,10.995136
5,bundle_adjustment,9,3.017632,5.811296,11.076608
6,tracking,0,1.579872,1.624000,4.497408
6,tracking,1,1.306624,1.776576,3.735552
6,tracking,2,1.810656,1.955712,4.445536
6,tracking,3,1.477632,1.829152,3.922944
6,tracking,4,1.320000,1.767072,3.648512
6,tracking,5,1.290464,1.767712,3.615168
6,tracking,6,1.284096,1.767136,3.613024
6,tracking,7,1.290528,1.765024,3.631104
6,tracking,8,1.279200,1.771008,3.612096
6,tracking,9,1.293312,1.764256,3.614144
7,tracking,0,1.274880,1.769216,4.321152
7,tracking,1,1.306560,1.765728,3.640320
7,tracking,2,1.347648,1.788832,3.742720
7,tracking,3,1.662592,1.841696,4.267008
7,tracking,4,1.354752,1.792512,3.736576
7,tracking,5,1.303648,1.772512,3.646784
7,tracking,6,1.300320,1.763424,3.614720
7,tracking,7,1.282944,1.768672,3.618816
7,tracking,8,1.284320,1.767744,3.621888
7,tracking,9,1.298112,1.764480,3.664896
8,tracking,0,1.271232,1.766720,4.359904
8,tracking,1,1.290016,1.771712,3.631104
8,tracking,2,1.546848,1.925024,4.168704
8,tracking,3,1.391584,1.793504,3.764512
8,tracking,4,1.330784,1.766560,3.675136
8,tracking,5,1.278976,1.773728,3.618816
8,tracking,6,1.284896,1.756192,3.600384
8,tracking,7,1.282816,1.764960,3.612992
8,tracking,8,1.276928,1.770432,3.607552
8,tracking,9,1.290240,1.771104,3.612672
9,tracking,0,1.289216,1.771936,4.351136
9,tracking,1,1.287104,1.765568,3.621152
9,tracking,2,1.286272,1.822592,3.698080
9,tracking,3,1.661952,1.843712,4.189280
9,tracking,4,1.365056,1.784704,3.745792
9,tracking,5,1.324032,1.763200,3.641344
9,tracking,6,1.278976,1.772576,3.613696
9,tracking,7,1.294304,1.763168,3.615744
9,tracking,8,1.284096,1.764256,3.617792
9,tracking,9,1.285440,1.766592,3.611648
10,tracking,0,1.283072,1.770464,4.366784
10,tracking,1,1.285920,1.769824,3.636224
10,tracking,2,1.422336,1.891968,4.017152
10,tracking,3,1.410144,1.814400,3.859616
10,tracking,4,1.315456,1.785056,3.677216
10,tracking,5,1.295808,1.768928,3.630080
10,tracking,6,1.271712,1.765824,3.597312
10,tracking,7,1.287392,1.771936,3.620928
10,tracking,8,1.296384,1.767456,3.625984
10,tracking,9,1.282048,1.769408,3.604864
10,bundle_adjustment,0,2.568192,4.889600,10.825728
10,bundle_adjustment,1,2.427904,4.680704,9.436160
10,bundle_adjustment,2,2.419712,4.675584,9.416704
10,bundle_adjustment,3,2.408352,4.654496,9.379840
