frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,1.896448,2.052320,6.703392
1,tracking,1,1.376320,1.827456,3.860480
1,tracking,2,1.327104,1.631552,3.536896
1,tracking,3,1.339392,1.826144,3.748864
1,tracking,4,1.673280,1.844288,4.081664
1,tracking,5,1.340576,1.775744,3.673088
1,tracking,6,1.320960,1.824608,3.704832
1,tracking,7,1.332128,1.833760,3.713024
1,tracking,8,1.338688,1.838688,3.727360
1,tracking,9,1.327520,1.872352,3.757056
2,tracking,0,1.509376,1.877376,4.775104
2,tracking,1,1.334592,1.945952,3.904512
2,tracking,2,1.702848,2.006304,4.495360
2,tracking,3,1.429408,2.140160,4.203520
2,tracking,4,1.349600,1.676960,3.599360
2,tracking,5,1.331200,1.702496,3.588352
2,tracking,6,1.353792,1.669952,3.796992
2,tracking,7,1.313472,1.907392,3.768320
2,tracking,8,1.308704,1.885664,3.736576
2,tracking,9,1.323008,1.797472,3.810528
3,tracking,0,1.311744,1.764736,4.276224
3,tracking,1,1.319936,1.655808,3.554304
3,tracking,2,1.400224,1.837856,4.332640
3,tracking,3,1.440768,1.781120,4.103808
3,tracking,4,1.374176,1.699488,3.645440
3,tracking,5,1.334272,1.654272,3.534848
3,tracking,6,1.317888,1.902624,3.772416
3,tracking,7,1.319776,1.851008,3.725664
3,tracking,8,1.328128,1.658208,3.526656
3,tracking,9,1.317888,1.893056,3.753984
4,tracking,0,1.458176,2.086496,4.947968
4,tracking,1,1.357824,2.129536,4.066304
4,tracking,2,1.591360,2.187072,4.577280
4,tracking,3,1.454016,1.759104,3.854336
4,tracking,4,1.362880,1.715264,3.638272
4,tracking,5,1.386464,1.802400,3.962880
4,tracking,6,1.363680,1.945184,3.850400
4,tracking,7,1.378304,1.698080,3.620864
4,tracking,8,1.348608,1.887040,3.786752
4,tracking,9,1.372608,1.751968,3.682304
5,tracking,0,1.349760,1.853920,4.479648
5,tracking,1,1.369088,1.743072,3.684352
5,tracking,2,1.529824,1.902336,4.124064
5,tracking,3,1.445248,1.782336,3.847168
5,tracking,4,1.397760,1.753376,3.723264
5,tracking,5,1.364544,1.697184,3.602432
5,tracking,6,1.353056,1.702560,3.604480
5,tracking,7,1.409888,1.766304,3.729408
5,tracking,8,1.351904,1.705408,3.603456
5,tracking,9,1.351712,1.698368,3.591168
5,bundle_adjustment,0,4.043552,6.143680,13.975968
5,bundle_adjustment,1,3.778560,5.748736,11.926720
5,bundle_adjustment,2,3.650560,5.672960,11.713536
5,bundle_adjustment,3,3.558400,5.684224,11.625888
5,bundle_adjustment,4,3.594080,5.605376,11.509760
5,bundle_adjustment,5,3.554400,5.578976,11.439104
5,bundle_adjustment,6,3.556352,5.540864,11.402240
5,bundle_adjustment,7,3.553728,5.583872,11.441248
5,bundle_adjustment,8,3.567936,5.529600,11.463680
