frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,2.116608,1.972576,7.242496
1,tracking,1,1.490944,1.654176,3.892224
1,tracking,2,1.453952,1.610784,3.637248
1,tracking,3,1.343936,1.595904,3.508224
1,tracking,4,1.345440,1.605440,3.506176
1,tracking,5,1.335264,1.601632,3.503104
1,tracking,6,1.337344,1.593088,3.489792
1,tracking,7,1.338688,1.593024,3.492864
1,tracking,8,1.329120,1.599584,3.478528
1,tracking,9,1.348608,1.992768,3.935232
2,tracking,0,1.400224,1.751328,4.536320
2,tracking,1,1.379328,1.737504,3.698688
2,tracking,2,1.519808,1.889696,4.119552
2,tracking,3,1.456896,1.810816,3.964928
2,tracking,4,1.432672,1.752160,3.769344
2,tracking,5,1.384448,1.732256,3.676160
2,tracking,6,1.362976,1.734560,3.660160
2,tracking,7,1.363968,1.735200,3.665088
2,tracking,8,1.382048,1.724224,3.664896
2,tracking,9,1.368384,1.728928,3.663936
3,tracking,0,1.368256,1.728704,4.334848
3,tracking,1,1.371136,1.733376,3.671040
3,tracking,2,1.400832,1.767616,3.744768
3,tracking,3,1.521536,1.781536,3.950592
3,tracking,4,1.446912,1.771104,3.798336
3,tracking,5,1.383744,1.729952,3.683328
3,tracking,6,1.371328,1.739744,3.674112
3,tracking,7,1.382080,1.724352,3.662848
3,tracking,8,1.371232,1.731488,3.667200
3,tracking,9,1.376256,1.728320,3.671040
4,tracking,0,1.366368,1.819104,4.502528
4,tracking,1,1.411008,2.229952,4.232192
4,tracking,2,1.496064,1.940960,4.459520
4,tracking,3,1.440160,1.709152,3.931136
4,tracking,4,1.401856,1.686496,3.660224
4,tracking,5,1.366176,1.682464,3.606560
4,tracking,6,1.367040,1.683136,3.607552
4,tracking,7,1.372160,1.675904,3.595264
4,tracking,8,1.359808,1.676032,3.590144
4,tracking,9,1.378432,1.677312,3.603840
5,tracking,0,1.362240,1.849344,4.488192
5,tracking,1,1.388640,1.688768,3.629056
5,tracking,2,1.453952,1.789984,3.842336
5,tracking,3,1.615168,2.019808,4.407584
5,tracking,4,1.521568,1.698880,3.802112
5,tracking,5,1.376608,1.722912,3.672064
5,tracking,6,1.377344,1.733408,3.673088
5,tracking,7,1.387520,1.724448,3.661824
5,tracking,8,1.370112,1.727808,3.667232
5,tracking,9,1.364352,1.729792,3.654688
5,bundle_adjustment,0,4.080832,5.915680,13.629152
5,bundle_adjustment,1,3.771968,5.538816,11.677696
5,bundle_adjustment,2,3.638400,5.534720,11.445248
5,bundle_adjustment,3,3.624960,5.511168,11.397120
5,bundle_adjustment,4,3.630080,5.552128,11.469184
5,bundle_adjustment,5,3.645440,5.516064,11.421696
5,bundle_adjustment,6,3.621888,5.557152,11.449344
5,bundle_adjustment,7,3.627008,5.466112,11.358208
5,bundle_adjustment,8,3.606496,5.558720,11.452416
5,bundle_adjustment,9,3.638272,5.470848,11.371520
6,tracking,0,1.479616,1.559872,4.498432
6,tracking,1,1.394688,1.821472,3.785792
6,tracking,2,1.647680,1.845408,4.126720
6,tracking,3,1.444864,1.774112,3.826688
6,tracking,4,1.424384,1.728288,3.723264
6,tracking,5,1.377664,1.720032,3.662848
6,tracking,6,1.372992,1.723712,3.653632
6,tracking,7,1.381312,1.715744,3.661824
6,tracking,8,1.376160,1.722912,3.654656
6,tracking,9,1.380032,1.725248,3.659776
7,tracking,0,1.382400,1.729376,4.383008
7,tracking,1,1.384448,1.719520,3.670016
7,tracking,2,1.394688,1.744864,3.720352
7,tracking,3,1.497184,1.770880,3.919264
7,tracking,4,1.448384,1.767456,3.800064
7,tracking,5,1.402688,1.720704,3.678208
7,tracking,6,1.362944,1.713536,3.644416
7,tracking,7,1.368928,1.719136,3.645440
7,tracking,8,1.375264,1.713248,3.652032
7,tracking,9,1.364992,1.714720,3.641440
8,tracking,0,1.373600,1.726048,4.412000
8,tracking,1,1.363360,1.724096,3.665920
8,tracking,2,1.508352,1.878784,4.081664
8,tracking,3,1.446592,1.776096,3.822592
8,tracking,4,1.424352,1.733760,3.739648
8,tracking,5,1.366016,1.714272,3.652608
8,tracking,6,1.360672,1.722752,3.650560
8,tracking,7,1.390752,1.718528,3.673088
8,tracking,8,1.373280,1.718880,3.673088
8,tracking,9,1.363168,1.722624,3.645664
9,tracking,0,1.365184,1.724960,4.383040
9,tracking,1,1.379680,1.712352,3.659776
9,tracking,2,1.381376,1.756864,3.715072
9,tracking,3,1.530112,1.791232,4.020320
9,tracking,4,1.443520,1.843008,3.891200
9,tracking,5,1.402304,1.723808,3.684352
9,tracking,6,1.359744,1.717440,3.635264
9,tracking,7,1.356896,1.722368,3.634176
9,tracking,8,1.381472,1.717888,3.660800
9,tracking,9,1.368064,1.715680,3.648512
10,tracking,0,1.366016,1.732128,4.393984
10,tracking,1,1.368960,1.729248,3.665920
10,tracking,2,1.511328,1.889056,4.100096
10,tracking,3,1.469376,1.796608,3.864576
10,tracking,4,1.428448,1.738176,3.740672
10,tracking,5,1.359264,1.722560,3.655680
10,tracking,6,1.378304,1.724384,3.673088
10,tracking,7,1.378304,1.718784,3.651584
10,tracking,8,1.374624,1.720608,3.667104
10,tracking,9,1.377248,1.726688,3.667968
10,bundle_adjustment,0,2.972384,4.625408,11.042816
10,bundle_adjustment,1,2.853888,4.509856,9.767936
10,bundle_adjustment,2,2.843648,4.483072,9.733120
10,bundle_adjustment,3,2.829376,4.499840,9.748480
10,bundle_adjustment,4,2.839552,4.511744,10.077312
10,bundle_adjustment,5,2.833408,4.519200,10.462880
10,bundle_adjustment,6,2.830272,4.508704,9.744384
10,bundle_adjustment,7,2.824544,4.498496,9.752576
10,bundle_adjustment,8,2.845696,4.499552,9.742688
10,bundle_adjustment,9,2.847744,4.499680,10.059776
11,tracking,0,1.485568,1.587328,4.349824
11,tracking,1,1.378304,1.722656,3.705856
11,tracking,2,1.435840,1.871232,3.962880
11,tracking,3,1.508064,1.780352,3.915776
11,tracking,4,1.432352,1.747232,3.758336
11,tracking,5,1.391264,1.714112,3.659776
11,tracking,6,1.357824,1.717504,3.634336
11,tracking,7,1.373856,1.722144,3.655680
11,tracking,8,1.390592,1.716128,3.660800
11,tracking,9,1.755936,1.728000,4.055072
12,tracking,0,1.362944,1.729088,4.556768
12,tracking,1,1.392896,1.745440,3.714048
12,tracking,2,1.596416,1.826048,4.140448
12,tracking,3,1.467264,1.792064,3.875264
12,tracking,4,1.401856,1.723680,3.689472
12,tracking,5,1.362944,1.718752,3.646464
12,tracking,6,1.372960,1.727200,3.662848
12,tracking,7,1.376256,1.718464,3.649536
12,tracking,8,1.372064,1.719392,3.651584
12,tracking,9,1.369120,1.724736,3.650560
13,tracking,0,1.355808,1.739264,4.401152
13,tracking,1,1.388544,1.714656,3.671040
13,tracking,2,1.418240,1.921984,4.035584
13,tracking,3,1.499136,1.789184,4.061216
13,tracking,4,1.435840,1.748320,3.777536
13,tracking,5,1.367680,1.722272,3.646464
13,tracking,6,1.377280,1.719136,3.657728
13,tracking,7,1.368160,1.721728,3.660800
13,tracking,8,1.378464,1.725632,3.672064
13,tracking,9,1.380640,1.715104,3.647488
14,tracking,0,1.361920,1.729792,4.459200
14,tracking,1,1.397760,1.745600,3.727360
14,tracking,2,1.652832,1.791488,4.152672
14,tracking,3,1.459648,1.773472,3.828736
14,tracking,4,1.403008,1.727232,3.700128
14,tracking,5,1.373952,1.719392,3.660864
14,tracking,6,1.368128,1.724608,3.667968
14,tracking,7,1.387872,1.717824,3.668352
14,tracking,8,1.375232,1.712160,3.656704
14,tracking,9,1.368064,1.720768,3.652608
15,tracking,0,1.357824,1.738176,4.380288
15,tracking,1,1.401792,1.722144,3.688448
15,tracking,2,1.472448,1.850432,3.948544
15,tracking,3,1.507296,1.769792,3.968000
15,tracking,4,1.436544,1.747104,3.782656
15,tracking,5,1.381376,1.731968,3.691520
15,tracking,6,1.384448,1.722784,3.662848
15,tracking,7,1.365248,1.721120,3.653984
15,tracking,8,1.368064,1.728384,3.658752
15,tracking,9,1.380096,1.722080,3.656704
15,bundle_adjustment,0,2.730016,4.313472,10.367712
15,bundle_adjustment,1,2.612000,4.224736,9.284608
15,bundle_adjustment,2,2.589376,4.178784,9.167872
15,bundle_adjustment,3,2.580480,4.205568,9.201664
15,bundle_adjustment,4,2.583552,4.186112,9.496576
15,bundle_adjustment,5,2.591744,4.205568,9.829184
15,bundle_adjustment,6,2.588672,4.164608,9.147392
15,bundle_adjustment,7,2.582656,4.187936,9.182208
15,bundle_adjustment,8,2.598016,4.176896,9.181184
15,bundle_adjustment,9,2.587648,4.225312,9.528320
16,tracking,0,1.502208,1.572608,4.501504
16,tracking,1,1.443744,1.796416,3.903488
16,tracking,2,1.506720,1.796800,4.120576
16,tracking,3,1.451680,1.768544,3.831808
16,tracking,4,1.383776,1.729984,3.685376
16,tracking,5,1.373984,1.728800,3.666944
16,tracking,6,1.378368,1.720832,3.662848
16,tracking,7,1.364768,1.718464,3.651584
16,tracking,8,1.360576,1.723584,3.647488
16,tracking,9,1.378208,1.717824,3.646464
17,tracking,0,1.382752,1.732480,4.372672
17,tracking,1,1.354752,1.720320,3.647520
17,tracking,2,1.400832,1.925504,3.973120
17,tracking,3,1.577280,1.834912,4.351424
17,tracking,4,1.417280,1.744576,3.764320
17,tracking,5,1.379232,1.731328,3.671040
17,tracking,6,1.384448,1.726816,3.677184
17,tracking,7,1.378400,1.719648,3.663872
17,tracking,8,1.368960,1.728320,3.662272
17,tracking,9,1.383584,1.716640,3.651584
18,tracking,0,1.362880,1.732768,4.445984
18,tracking,1,1.433568,1.744768,3.768320
18,tracking,2,1.604704,1.823232,4.145152
18,tracking,3,1.464416,1.789344,3.850240
18,tracking,4,1.404800,1.729984,3.715232
18,tracking,5,1.374496,1.733120,3.664896
18,tracking,6,1.383424,1.730592,3.667328
18,tracking,7,1.383392,1.719520,3.655968
18,tracking,8,1.366944,1.728672,3.652896
18,tracking,9,1.367616,1.720576,3.637248
19,tracking,0,1.372224,1.725504,4.435552
19,tracking,1,1.391776,1.719040,3.682304
19,tracking,2,1.488704,1.840896,3.959936
19,tracking,3,1.491232,1.771456,3.961856
19,tracking,4,1.426240,1.749888,3.763200
19,tracking,5,1.388320,1.730688,3.684352
19,tracking,6,1.384448,1.718560,3.654656
19,tracking,7,1.370016,1.714880,3.658752
19,tracking,8,1.379328,1.720736,3.667968
19,tracking,9,1.386368,1.717792,3.661824
20,tracking,0,1.356800,1.756832,4.487168
20,tracking,1,1.422336,1.738208,3.734528
