frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,1.934080,2.018272,7.004480
1,tracking,1,1.396448,1.823072,3.823616
1,tracking,2,1.352448,1.815552,3.739648
1,tracking,3,1.345216,1.620064,3.525632
1,tracking,4,1.376864,1.811904,3.744768
1,tracking,5,1.333248,1.805696,3.697664
1,tracking,6,1.349216,1.810336,3.716096
1,tracking,7,1.352704,1.801216,3.705856
1,tracking,8,1.340416,1.798592,3.695616
1,tracking,9,1.338336,1.651104,3.541120
2,tracking,0,1.424736,1.803104,4.572128
2,tracking,1,1.378592,1.694528,3.633152
2,tracking,2,1.487776,1.932192,4.113408
2,tracking,3,1.460224,1.729664,3.972064
2,tracking,4,1.400800,1.715360,3.745184
2,tracking,5,1.377536,1.688640,3.796992
2,tracking,6,1.358848,1.682624,3.591168
2,tracking,7,1.368000,1.676480,3.580928
2,tracking,8,1.376256,1.678400,3.591168
2,tracking,9,1.378464,1.922016,3.843200
3,tracking,0,1.508992,1.711520,4.671904
3,tracking,1,1.359104,1.678592,3.590592
3,tracking,2,1.378304,1.771584,3.724288
3,tracking,3,1.719296,1.846368,4.294656
3,tracking,4,1.437344,1.733824,3.748864
3,tracking,5,1.386464,1.723328,3.663872
3,tracking,6,1.367360,1.720352,3.644736
3,tracking,7,1.370112,1.733056,3.651008
3,tracking,8,1.448960,1.729504,3.741696
3,tracking,9,1.368064,1.722496,3.637632
4,tracking,0,1.498720,1.763904,4.695616
4,tracking,1,1.362784,2.090368,4.001792
4,tracking,2,1.654144,2.402048,4.682816
4,tracking,3,1.446304,2.067392,4.144128
4,tracking,4,1.379456,1.969408,3.892224
4,tracking,5,1.362272,1.836544,3.743104
4,tracking,6,1.379776,1.854944,3.969024
4,tracking,7,1.370688,1.936800,3.848192
4,tracking,8,1.377120,1.734336,3.660800
4,tracking,9,1.364768,1.722432,3.631104
5,tracking,0,1.480704,1.848800,4.714496
5,tracking,1,1.354304,1.753792,3.648512
5,tracking,2,1.422336,1.853504,3.961856
5,tracking,3,1.517568,1.743456,4.015136
5,tracking,4,1.394784,1.742432,3.679328
5,tracking,5,1.375232,1.687744,3.607744
5,tracking,6,1.350624,1.685440,3.579904
5,tracking,7,1.372416,1.680960,3.591168
5,tracking,8,1.363968,1.919360,3.827712
5,tracking,9,1.354944,1.885312,3.778848
5,bundle_adjustment,0,4.353920,6.016000,14.433280
5,bundle_adjustment,1,4.073920,5.519616,12.025856
5,bundle_adjustment,2,3.626112,5.572256,11.554816
5,bundle_adjustment,3,3.615616,5.501184,11.468800
5,bundle_adjustment,4,3.616544,5.556384,11.435008
5,bundle_adjustment,5,3.634880,5.502304,11.385856
5,bundle_adjustment,6,3.652608,5.547392,11.456512
5,bundle_adjustment,7,3.609408,5.468160,11.329536
5,bundle_adjustment,8,3.607872,5.556224,11.421760
5,bundle_adjustment,9,3.609600,5.477376,11.352064
6,tracking,0,1.493920,1.558976,4.394336
6,tracking,1,1.365216,1.770016,3.712000
6,tracking,2,1.592320,1.913600,4.168704
6,tracking,3,1.461248,1.763456,3.841024
6,tracking,4,1.386496,1.743712,3.756032
6,tracking,5,1.382400,1.721024,3.655680
6,tracking,6,1.361184,1.718944,3.637440
6,tracking,7,1.352064,1.719520,3.619968
6,tracking,8,1.368928,1.720576,3.632320
6,tracking,9,1.357824,1.714432,3.619840
7,tracking,0,1.370048,1.726112,4.357120
7,tracking,1,1.369152,1.720928,3.650656
7,tracking,2,1.405376,1.871360,3.913824
7,tracking,3,1.587392,1.829984,4.310016
7,tracking,4,1.408000,1.746400,3.739648
7,tracking,5,1.378720,1.732160,3.663872
7,tracking,6,1.386784,1.716416,3.644416
7,tracking,7,1.360896,2.036320,3.939776
7,tracking,8,1.362144,1.967680,3.859584
7,tracking,9,1.357216,1.960096,3.859648
8,tracking,0,1.350848,1.788064,4.489216
8,tracking,1,1.378112,1.692064,3.649568
8,tracking,2,1.706944,1.880352,4.430848
8,tracking,3,1.475584,1.762336,3.834880
8,tracking,4,1.406304,1.728448,3.686400
8,tracking,5,1.367264,1.719680,3.645888
8,tracking,6,1.370176,1.723040,3.646464
8,tracking,7,1.368384,1.713504,3.633152
8,tracking,8,1.364800,1.714976,3.643648
8,tracking,9,1.366272,1.720384,3.635200
9,tracking,0,1.361920,1.731808,4.323520
9,tracking,1,1.376256,1.714848,3.646464
9,tracking,2,1.511424,1.872064,4.022272
9,tracking,3,1.488000,1.778176,4.020224
9,tracking,4,1.415168,1.734368,3.725312
9,tracking,5,1.369792,1.727104,3.657984
9,tracking,6,1.369280,1.721344,3.634176
9,tracking,7,1.367264,1.716864,3.642368
9,tracking,8,1.355840,1.717504,3.618112
9,tracking,9,1.368064,1.712768,3.622048
10,tracking,0,1.358848,1.718176,4.375552
10,tracking,1,1.369088,2.118752,4.052992
10,tracking,2,1.742048,1.960160,4.544512
10,tracking,3,1.531072,1.857952,3.978240
10,tracking,4,1.394304,1.913248,3.857408
10,tracking,5,1.358848,1.944000,3.840160
10,tracking,6,1.367648,1.947104,3.847168
10,tracking,7,1.351296,1.947456,3.834880
10,tracking,8,1.350656,1.952128,3.834880
