frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,1.961984,1.919904,6.738272
1,tracking,1,1.437664,1.661440,3.736576
1,tracking,2,1.369280,1.646432,3.582976
1,tracking,3,1.347584,1.638208,3.560448
1,tracking,4,1.360320,1.646848,3.584000
1,tracking,5,1.360992,1.639712,3.579904
1,tracking,6,1.349440,1.654752,3.575808
1,tracking,7,1.381408,1.638848,3.590144
1,tracking,8,1.354752,1.649088,3.575808
1,tracking,9,1.356320,1.689664,3.625984
2,tracking,0,1.413856,1.728288,4.419584
2,tracking,1,1.331872,1.681056,3.579904
2,tracking,2,1.424384,1.938592,4.069376
2,tracking,3,1.450784,1.742016,3.801088
2,tracking,4,1.399808,1.687520,3.665920
2,tracking,5,1.331296,1.678816,3.574784
2,tracking,6,1.339392,1.668544,3.562496
2,tracking,7,1.336320,1.679264,3.581952
2,tracking,8,1.342464,1.675488,3.582976
2,tracking,9,1.364704,1.674592,3.596288
3,tracking,0,1.349408,1.680608,4.294656
3,tracking,1,1.338304,1.688448,3.607552
3,tracking,2,1.371136,1.731648,3.690496
3,tracking,3,1.506528,1.750944,4.117504
3,tracking,4,1.446880,1.708320,3.773440
3,tracking,5,1.349440,1.674944,3.586048
3,tracking,6,1.349920,1.689632,3.662848
3,tracking,7,1.350656,1.668192,3.585024
3,tracking,8,1.341152,1.683616,3.579904
3,tracking,9,1.357056,1.670944,3.587072
4,tracking,0,1.337344,1.677600,4.241408
4,tracking,1,1.356096,1.670816,3.590144
4,tracking,2,1.408832,1.906528,4.065280
4,tracking,3,1.482752,1.753248,3.923008
4,tracking,4,1.391616,1.681792,3.654656
4,tracking,5,1.345280,1.678048,3.584000
4,tracking,6,1.345888,1.666944,3.573760
4,tracking,7,1.350240,1.680928,3.594240
4,tracking,8,1.365024,1.712416,3.635360
4,tracking,9,1.373184,1.711936,3.649536
5,tracking,0,1.387712,1.747104,4.477088
5,tracking,1,1.382400,1.718976,3.675488
5,tracking,2,1.395648,1.773664,3.776512
5,tracking,3,1.536000,1.772736,4.023296
5,tracking,4,1.443968,1.761024,3.784704
5,tracking,5,1.412096,1.712896,3.684448
5,tracking,6,1.378624,1.711168,3.648512
5,tracking,7,1.380736,1.721024,3.663296
5,tracking,8,1.387488,1.709472,3.647744
5,tracking,9,1.408000,1.707616,3.684608
5,bundle_adjustment,0,4.162560,5.969920,13.662208
5,bundle_adjustment,1,3.812256,5.604352,11.715584
5,bundle_adjustment,2,3.678176,5.548000,11.457536
5,bundle_adjustment,3,3.675200,5.613504,11.444224
5,bundle_adjustment,4,3.673088,5.552224,11.456512
5,bundle_adjustment,5,3.687392,5.556224,11.406336
5,bundle_adjustment,6,3.663008,5.540864,11.342848
5,bundle_adjustment,7,3.668128,5.582848,11.414528
5,bundle_adjustment,8,3.693568,5.551104,11.392000
5,bundle_adjustment,9,3.663008,5.575680,11.402240
6,tracking,0,1.508480,1.560384,4.389888
6,tracking,1,1.396576,1.727968,3.774464
6,tracking,2,1.504512,1.890304,4.080064
6,tracking,3,1.466240,1.782816,3.844416
6,tracking,4,1.424320,1.721472,3.716096
6,tracking,5,1.384448,1.718336,3.665920
6,tracking,6,1.406752,1.712192,3.679232
6,tracking,7,1.378304,1.709408,3.636384
6,tracking,8,1.370112,1.717472,3.640320
6,tracking,9,1.385408,1.710880,3.665184
7,tracking,0,1.500480,1.838400,4.655104
7,tracking,1,1.373280,1.686560,3.614016
7,tracking,2,1.494336,1.733728,3.818496
7,tracking,3,1.553792,1.750368,3.969184
7,tracking,4,1.723392,1.696544,4.015104
7,tracking,5,1.399808,1.921408,3.887104
7,tracking,6,1.387520,1.660288,3.621120
7,tracking,7,1.375232,1.708992,3.670016
7,tracking,8,1.380736,1.703456,3.640320
7,tracking,9,1.371264,1.704224,3.640320
8,tracking,0,1.505344,1.826720,4.639552
8,tracking,1,1.368960,1.666688,3.595264
8,tracking,2,1.409120,1.807616,3.923968
8,tracking,3,1.455296,1.709312,3.762176
8,tracking,4,1.473824,1.713600,3.746816
8,tracking,5,1.381856,1.708736,3.666944
8,tracking,6,1.381472,1.713312,3.660800
8,tracking,7,1.386880,1.709152,3.654656
8,tracking,8,1.369856,1.709760,3.641760
8,tracking,9,1.365120,1.718464,3.647776
9,tracking,0,1.494112,1.886656,4.686944
9,tracking,1,1.380608,1.880704,3.824736
9,tracking,2,1.426432,1.770176,3.788928
9,tracking,3,1.493312,1.984384,4.156864
9,tracking,4,1.507424,1.728384,3.816448
9,tracking,5,1.404928,1.706240,3.666944
9,tracking,6,1.382112,1.706912,3.640320
9,tracking,7,1.376000,1.716352,3.642816
9,tracking,8,1.373216,1.701408,3.633152
9,tracking,9,1.382560,1.710688,3.651584
